002/023,CAJA PLATO GRANDE M-1 64.0 X 63.8 X 28.0  51 ECT.  CON HAND HOLD INCLUYE ESQUINEROS.,1
002/024,LAMINA 42.5 X 60.0  40 ECT. WALL DECOR.,1
003/001,CAJA TRES CORONAS 12/LTO. VIDRIO (SUNNY),10.67
003/002,CAJA 12/940 ML. GUALA 3 CORONAS,1
003/003,CAJA SUPRA 5 LTS. PET,1
003/004,CAJA 12 LTO. PET ALTA,1
003/005,CAJA 12 1/LTO. PET,1
003/006,CAJA TRES CORONAS 36/250,1
003/007,CAJA 3 CORONAS 5 LTS. PET,1
003/008,CAJA LOBO SALVAJE 24/500 ML. 44.0 X 30.5 X 18.5  23 ECT.  IMPRESION UNA TINTA.,1
003/009,CAJA LOBO SALVAJE 750 ML. 38.8 X 29.3 X 24.5  23 ECT.,1
003/010,CAJA SUPRA MERCADITO 36/250,1
003/011,CAJA LOBO SALVAJE 1 LTO. 33.0 X 25.0 X 31.0  23 ECT.,1
003/012,CAJA FLOR SALVAJE 1 LTO. 33.5 X 24.5 X 36.5  23 ECT.  IMPRESION  UNA TINTA.,10.82
003/013,CAJA TRES CORONAS 6/750 A—EJO,1
003/014,CAJA NUBE AZUL,1
003/015,CAJA TEQUILA DON RUBEN 27.0 x 24.0 x 26.0 26 ECT BLANCO CON IMPRESION,10.69
003/016,CAJA TRES GRANDES A—EJO 6/750 ML,10.91
003/017,CAJA VERSATIL 12/1000,9.1
003/018,CAJA DOS CORAZONES,10.47
003/019,CAJA SUPRA 12/950 LTO PET,7.99
003/020,CAJA SUPRA 24/440 LTO PET,8.08
003/021,CAJA 12 BOT. 1 LITER LIQUOR,11.13
003/022,JUEGO DE DVISION 12 BOT. 1 LITER LIQUOR,3.9
003/023,CAJA TRES CORONAS 12/750 ML,1
003/024,CAJA TRES CORONAS A—EJO 6 BOT/ 1 LTO,13.65
003/025,CAJA SUPRA MERCADITO 24/440 PET,9.66
003/026,CAJA SUPRA MERCADITO 12/960 PET,9.66
003/027,CAJA TRES CORONAS 960 ML PET,9.66
003/028,CAJA RANCHO VAQUERO 12/750,1
003/029,CAJA SUNY 12/1000 ML,1
003/030,CAJA BRANDY 950 ML,10.88
003/031,JUEGO DE DIVISION BRANDY 950 ML,4.38
003/032,CAJA LOBO SALVAJE 12/1 LTO,1
003/033,CAJA TRES CORONAS 24/440 ML,9.87
003/034,CAJA MS 12/1000 ML,1
003/035,CAJA 2 CORAZONES FRUTOS ROJOS,1
004/001,LAMINA 108.0 x 110.0 7 KGS. KRAFT,11.53
004/002,LAMINA 51.7 x 29.5 23 ECT KRAFT,1.55
005/001,CAJA ALFAJOR,1
